Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
State Security,Written,1,41319,41326,On time
Public Works,Written,2,41319,41346,Late
Home affairs,Written,3,41319,41338,Late
Home affairs,Written,4,41319,41330,On time
Finance,Written,5,41319,41334,Late
Mineral resources,Written,6,41319,41341,Late
COGTA,Written,7,41319,41344,Late
Social Development,Written,8,41319,41345,Late
Social Development,Written,9,41319,41345,Late
Social Development,Written,10,41319,41345,Late
Social Development,Written,11,41319,41345,Late
Social Development,Written,12,41319,41380,Very late
Social Development,Written,13,41319,41380,Very late
Social Development,Written,14,41319,41345,Late
Health ,Written,15,41319,41393,very late
Social Development,Written,16,41319,41345,late
Social Development,Written,17,41319,41345,late
Social Development,Written,18,41319,41345,late
Economic Development,Written,19,41319,41344,late
Finance,Written,20,41319,41339,late
Police,Written,21,41319,41345,late
Police,Written,22,41319,41345,late
Police,Written,23,41319,41345,late
Public Works,Written,24,41319,41393,very late
Public Works,Written,25,41319,41368,very late
Correctional Services,Written,26,41319,41333,on time
Public Works,Written,27,41319,41346,late
Public Works,Written,28,41319,41346,late
Public Works,Written,29,41319,41346,Late
Public Works,Written,30,41319,41346,Late
Trade and Industry,Written,31,41319,41326,On time
Economic Development,Written,32,41319,41344,late
Economic Development,Written,33,41319,41337,late
Economic Development,Written,34,41319,41344,late
Public Enterprises,Written,35,41319,41337,late
Labour,Written,36,41319,41345,late
Labour,Written,37,41319,41345,late
Justice and CD,Written,38,41319,41345,late
Health ,Written,39,41319,41492,very late
Energy ,Written,40,41319,41338,late
Water & Environmental affairs,Written,41,41319,41345,late
Water & Environmental affairs,Written,42,41319,41334,late
Basic Education,Written,43,41319,41416,very late
Basic Education,Written,44,41319,41341,late
Agriculture,Written,45,41319,41337,late
Health ,Written,46,41319,41378,very late
Higher education and training,Written,47,41319,41339,late
Higher education and training,Written,48,41319,41373,very late
Higher education and training,Written,49,41319,41339,very late
Police,Written,50,41319,41345,late
Public Works,Written,51,41319,41355,late
Labour,Written,52,41319,41345,late
Performance Monitoring,Written,53,41319,41380,very late
Communications,Written,54,41319,41439,very late
Communications,Written,55,41319,41439,very late
Correctional Services,Written,56,41319,41698,on time
Correctional Services,Written,57,41319,41698,on time
Agriculture,Written,58,41319,41345,late
Agriculture,Written,59,41319,41331,on time
Agriculture,Written,60,41319,41331,on time
Finance,Written,65,41319,41703,Late
Water & Environmental affairs,Written,66,41319,41702,late
Health ,Written,67,41319,41837,very late
Agriculture,Written,68,41319,41345,late
Arts,Written,69,41319,41383,very late
Basic Education,Written,70,41319,41341,late
Communications,Written,71,41319,41491,very late
COGTA,Written,72,41319,41709,Late
Correctional Services,Written,73,41319,41698,on time
Economic Development,Written,75,41319,41703,late
Higher education and training,Written,77,41319,41704,late
Home affairs,Written,78,41319,41699,On time
Labour,Written,82,41319,41345,late
Police,Written,84,41319,41345,late
Public Works,Written,87,41319,41346,Late
Social Development,Written,90,41319,41345,Late
Finance,Written,98,41319,41703,Late
Water & Environmental affairs,Written,99,41319,41702,late
Health ,Written,100,41319,41743,very late
Agriculture,Written,101,41319,41331,on time
Arts,Written,102,41319,41347,late
Basic Education,Written,103,41319,41347,late
Communications,Written,104,41319,41491,very late
COGTA,Written,105,41319,41709,Late
Correctional Services,Written,106,41319,41698,on time
Economic Development,Written,108,41319,41709,late
Higher education and training,Written,110,41319,41716,late
Home affairs,Written,111,41319,41699,On time
Labour,Written,115,41319,41345,late
Police,Written,117,41319,41745,very late
Public Works,Written,120,41319,41725,Late
Social Development,Written,123,41319,41345,Late
Finance,Written,131,41319,41709,Late
Water & Environmental affairs,Written,132,41319,41702,late
Health ,Written,133,41319,41758,very late
Agriculture,Written,134,41319,41331,on time
Arts,Written,135,41319,41408,very late
Basic Education,Written,136,41319,41330,on time
Communications,Written,137,41319,41491,very late
COGTA,Written,138,41319,41709,Late
Correctional Services,Written,139,41319,41706,late
Economic Development,Written,141,41319,41710,late
Higher education and training,Written,143,41319,41704,late
Home affairs,Written,144,41319,41697,On time
Labour,Written,148,41319,41345,late
Police,Written,150,41319,41345,late
Public Works,Written,153,41319,41725,Late
Social Development,Written,156,41319,41345,Late
Water & Environmental affairs,Written,165,41319,41702,late
Public Works,Written,166,41319,41355,Late
Public Works,Written,167,41319,41346,Late
Health ,Written,169,41319,41743,very late
Basic Education,Written,170,41319,41341,late
Social Development,Written,171,41319,41345,Late
Social Development,Written,172,41319,41345,Late
Communications,Written,173,41327,41439,very late
Communications,Written,181,41327,41439,very late
COGTA,Written,183,41327,41709,Late
COGTA,Written,185,41327,41709,Late
Basic Education,Written,186,41327,41347,late
Communications,Written,195,41327,41533,very late
Correctional Services,Written,210,41327,41745,very late
Correctional Services,Written,211,41327,41706,on time
Communications,Written,218,41327,41388,very late
Communications,Written,220,41327,41533,very late
President ,Written,231,41327,41380,very late
COGTA,Written,251,41334,41744,very late
COGTA,Written,252,41334,41744,very late
COGTA,Written,253,41334,41725,Late
Correctional Services,Written,256,41334,41712,on time
Correctional Services,Written,257,41334,41712,on time
Correctional Services,Written,260,41334,41712,on time
Correctional Services,Written,270,41334,41706,on time
Communications,Written,273,41334,41388,very late
Communications,Written,274,41334,41393,very late
Arts,Written,275,41334,41387,very late
COGTA,Written,276,41334,41725,Late
Basic Education,Written,281,41334,41347,on time
Basic Education,Written,287,41334,41375,late
Basic Education,Written,288,41334,41347,on time
Agriculture,Written,289,41334,41345,on time
Agriculture,Written,290,41334,41345,on time
Correctional Services,Written,293,41334,41712,on time
Communications,Written,299,41334,41533,very late
Basic Education,Written,304,41334,41347,on time
COGTA,Written,305,41334,41725,Late
Communications,Written,308,41334,41388,very late
COGTA,Written,312,41334,41773,very late
Agriculture,Written,315,41334,41345,on time
Basic Education,Written,316,41334,41347,on time
Communications,Written,318,41334,41439,very late
Deputy President,Oral,1,41339,41339,on time
Deputy President,Oral,2,41339,41339,on time
Deputy President,Oral,3,41339,41339,on time
Deputy President,Oral,4,41339,41339,on time
COGTA,Written,319,41341,41744,Late
COGTA,Written,321,41341,41744,Late
COGTA,Written,323,41341,41744,Late
Communications,Written,326,41341,41388,very late
Communications,Written,327,41341,41393,very late
COGTA,Written,329,41341,41744,Late
Basic Education,Written,333,41341,41409,very late
Basic Education,Written,335,41341,41375,late
Arts,Written,337,41341,41387,very late
Basic Education,Written,339,41341,41375,late
Communications,Written,340,41341,41393,very late
Basic Education,Written,341,41341,41386,very late
President ,Written,346,41341,41416,very late
Communications,Written,352,41341,41534,very late
Communications,Written,353,41341,41533,very late
Basic Education,Written,367,41341,41375,late
Basic Education,Written,368,41341,41375,late
Basic Education,Written,369,41341,41375,late
Basic Education,Written,374,41341,41375,late
Basic Education,Written,375,41341,41386,very late
COGTA,Written,381,41341,41744,Late
Agriculture,Written,384,41341,41402,very late
Communications,Written,398,41341,41372,late
Basic Education,Oral,53,41346,41347,on time
Basic Education,Oral,54,41346,41347,on time
Basic Education,Oral,60,41346,41347,on time
Basic Education,Oral,67,41346,41347,on time
Arts,Oral,69,41346,41347,on time
Basic Education,Oral,89,41346,41347,on time
Basic Education,Oral,90,41346,41347,on time
Arts,Oral,97,41346,41347,on time
Basic Education,Written,401,41348,41375,late
Basic Education,Written,402,41348,41781,very late
Agriculture,Written,405,41348,41402,very late
Basic Education,Written,407,41348,41409,very late
Communications,Written,409,41348,41428,very late
Agriculture,Written,425,41348,41388,late
Agriculture,Written,426,41348,41388,late
Correctional Services,Written,429,41348,41759,very late
Basic Education,Written,430,41348,41409,very late
Agriculture,Written,431,41348,41422,very late
Basic Education,Written,432,41348,41375,late
Agriculture,Written,434,41348,41402,very late
Agriculture,Written,436,41348,41388,late
Basic Education,Written,437,41348,41485,very late
Correctional Services,Written,450,41348,41745,late
Correctional Services,Written,451,41348,41745,late
COGTA,Written,453,41348,41744,Late
Correctional Services,Written,458,41348,41759,very late
Communications,Written,461,41348,41393,very late
Basic Education,Written,475,41348,41416,very late
Communications,Written,478,41348,41533,very late
President ,Oral,1,41353,41353,on time
President ,Oral,2,41353,41353,on time
President ,Oral,3,41353,41353,on time
President ,Oral,4,41353,41353,on time
President ,Oral,5,41353,41353,on time
President ,Oral,6,41353,41353,on time
COGTA,Written,482,41355,41744,Late
Communications,Written,483,41355,41534,very late
Arts,Written,490,41355,41379,late
Basic Education,Written,496,41355,41885,very late
Correctional Services,Written,516,41355,41772,very late
Correctional Services,Written,517,41355,41745,late
Communications,Written,521,41355,41428,very late
Communications,Written,522,41355,41388,late
Communications,Written,523,41355,41393,late
Correctional Services,Written,527,41355,41745,late
Agriculture,Written,528,41355,41388,late
Agriculture,Written,529,41355,41388,late
Agriculture,Written,530,41355,41388,late
Basic Education,Written,534,41355,41789,very late
Basic Education,Written,535,41355,41386,late
Basic Education,Written,536,41355,41386,late
Arts,Written,539,41355,41387,late
Agriculture,Written,541,41355,41400,very late
Agriculture,Written,542,41355,41390,late
COGTA,Written,552,41355,41745,Late
COGTA,Written,553,41355,41744,Late
Correctional Services,Written,583,41361,41759,late
COGTA,Written,586,41361,41773,very late
COGTA,Written,587,41361,41773,very late
COGTA,Written,588,41361,41758,Late
COGTA,Written,590,41361,41758,Late
Correctional Services,Written,598,41361,41759,late
Basic Education,Written,612,41361,41386,late
Basic Education,Written,613,41361,41386,late
Basic Education,Written,614,41361,41386,late
Agriculture,Written,616,41361,41388,late
Agriculture,Written,619,41361,41388,late
Agriculture,Written,620,41361,41415,very late
Basic Education,Written,621,41361,41386,late
Agriculture,Written,628,41361,41422,very late
Arts,Written,629,41361,41431,on time
Basic Education,Written,630,41361,41386,late
Communications,Written,631,41361,41533,very late
COGTA,Written,632,41361,41773,very late
Correctional Services,Written,633,41361,41772,very late
Basic Education,Written,658,41361,41386,late
Correctional Services,Written,661,41361,41759,late
COGTA,Written,669,41361,41787,very late
Basic Education,Written,676,41383,41478,very late
Basic Education,Written,677,41383,41416,late
COGTA,Written,679,41383,41811,very late
COGTA,Written,680,41383,41811,very late
Basic Education,Written,683,41383,41416,late
Basic Education,Written,684,41383,41417,late
COGTA,Written,691,41383,41811,very late
COGTA,Written,692,41383,41787,Late
COGTA,Written,696,41383,41773,Late
COGTA,Written,697,41383,41811,very late
COGTA,Written,698,41383,41773,Late
COGTA,Written,699,41383,41811,very late
COGTA,Written,700,41383,41773,Late
COGTA,Written,704,41383,41773,Late
Basic Education,Written,717,41383,41409,late
Basic Education,Written,721,41383,41424,late
Basic Education,Written,722,41383,41416,late
Basic Education,Written,723,41383,41485,very late
Deputy President,Written,735,41383,41404,late
COGTA,Written,742,41383,41773,Late
COGTA,Written,743,41383,41773,Late
Agriculture,Written,745,41383,41407,late
Agriculture,Written,746,41383,41416,late
Agriculture,Written,747,41383,41407,late
Correctional Services,Written,756,41383,41759,on time
President ,Written,758,41383,41416,late
COGTA,Written,762,41383,41811,very late
Agriculture,Written,773,41383,41407,late
Basic Education,Written,774,41383,41409,late
Deputy President,Oral,5,41388,41388,on time
Deputy President,Oral,6,41388,41388,on time
Deputy President,Oral,7,41388,41388,on time
Deputy President,Oral,8,41388,41388,on time
Basic Education,Written,799,41390,41416,late
Basic Education,Written,800,41390,41457,very late
Basic Education,Written,801,41390,41416,late
COGTA,Written,814,41390,41787,Late
Communications,Written,815,41390,41533,very late
Communications,Written,824,41390,41533,very late
Communications,Written,825,41390,41534,very late
Communications,Written,826,41390,41428,late
Basic Education,Written,829,41390,41416,late
Agriculture,Written,833,41397,41404,on time
Correctional Services,Written,838,41397,41857,very late
Correctional Services,Written,840,41397,41795,late
Basic Education,Written,848,41397,41424,late
Basic Education,Written,849,41397,41424,late
Basic Education,Written,850,41397,41424,late
Communications,Written,881,41397,41533,very late
COGTA,Written,903,41397,41796,Late
COGTA,Written,921,41397,41796,Late
